"bse_scrip_name","nse_scrip_name","sector","company_name","bse_price","nse_price","bse_volume","nse_volume","sentimeter_score","market_cap_in_cr","pe","book_value","dividend_perc","market_lot","industry_pe","eps","pc","price_by_bookvalue","div_yield_perc","face_value","deliverables_perc","sma_30_50_150_200_bse","sma_30_50_150_200_bse",", master_url"
"790061 "," ","MISCELLANEOUS","Adel Visi","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adelvisi/AV01"
"519183 ","ADFFOODS ","FOOD PROCESSING","ADF Foods Industries","95.80","95.75","63,923","261,645","100%","214.38","15.25","78.56","15.00%","1","48.30","6.28","10.03","1.22","1.57%","10.00",NA,"89.95, 89.56, 76.13, 73.08","89.95, 89.56, 76.13, 73.08","http://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30"
"539189 "," ","INFRASTRUCTURE - GENERAL","Adhbhut Infrastructure","NA","NA","NA","NA","NA","0.00","-","17.73","0.00%","1","25.58","0.47","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adhbhutinfrastructure/AI71"
"514113 "," ","TEXTILES - SPINNING - SYNTHETIC BLENDED","Adhinath Textiles","1.18","NA","20","NA","NA","0.80","2.27","1.34","0.00%","1","11.29","0.52","1.51","0.88","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adhinathtextiles/AT02"
"538365 "," ","STEEL - MEDIUM & SMALL","Adhunik Industries","139.40","NA","30,104","NA","NA","651.89","56.44","21.47","0.00%","1","6.02","2.47","43.84","6.49","-%","10.00",NA,"141.36, 141.51, 143.42, 148.16","141.36, 141.51, 143.42, 148.16","http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adhunikindustries/AI67"
"532727 ","ADHUNIK ","STEEL - SPONGE IRON","Adhunik Metaliks","14.90","14.95","14,919","60,904","100%","184.01","-","22.15","0.00%","1","6.19","-","-","0.67","-%","10.00",NA,"15.16, 15.29, 16.89, 17.95","15.16, 15.29, 16.89, 17.95","http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/adhunikmetaliks/AM9"
"514055 "," ","TEXTILES - WEAVING","Adhunik Synthetics","NA","NA","NA","NA","NA","0.00","-","-124.12","0.00%","100","5.92","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/textilesweaving/adhuniksynthetics/AS"
"514452 "," ","TEXTILES - PROCESSING","Adhunik Yarns","NA","NA","NA","NA","NA","0.00","-","-7.25","0.00%","100","20.02","-","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/adhunikyarns/AY"
"530117 ","ADI ","CHEMICALS","Adi Finechem","223.80","224.85","5,022","7,836","NA","308.71","39.19","41.18","25.00%","1","46.88","5.71","30.57","5.43","1.12%","10.00",NA,"216.88, 208.98, 238.17, 261.68","216.88, 208.98, 238.17, 261.68","http://www.moneycontrol.com/india/stockpricequote/chemicals/adifinechem/HKF"
"531592 "," ","DYES & PIGMENTS","Adi Rasayan","NA","NA","NA","NA","NA","0.00","-","-1.57","0.00%","1","6.42","0.07","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/dyespigments/adirasayan/AR04"
"590088 "," ","AQUACULTURE","Adinath Bio-Labs","0.24","NA","49,321","NA","NA","5.30","12.00","1.32","0.00%","1","36.22","0.02","8.00","0.18","-%","1.00",NA,"0.21, 0.23, 0.00","0.21, 0.23, 0.00","http://www.moneycontrol.com/india/stockpricequote/aquaculture/adinathbiolabs/ABL02"
"532056 "," ","TRADING","Adinath Exim Resources","14.45","NA","5,577","NA","NA","5.93","22.23","16.65","0.00%","1","23.87","0.65","21.25","0.87","-%","10.00",NA,"16.26, 15.45, 0.00","16.26, 15.45, 0.00","http://www.moneycontrol.com/india/stockpricequote/trading/adinatheximresources/AER"
"524320 "," ","PHARMACEUTICALS","Adithya Alkaloids","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL"
"519516 "," ","AQUACULTURE","Adithya Aqua Culture","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/aquaculture/adithyaaquaculture/AAC03"
"532974 ","BIRLAMONEY ","FINANCE - GENERAL","Aditya Birla Money","25.05","24.95","3,526","41,770","100%","138.78","35.79","4.69","0.00%","1","23.87","0.70","14.48","5.34","-%","1.00",NA,"25.48, 24.39, 24.72, 25.43","25.48, 24.39, 24.72, 25.43","http://www.moneycontrol.com/india/stockpricequote/financegeneral/adityabirlamoney/ABM01"
"500057 ","ABCIL ","CHEMICALS","Aditya Birla Chemicals","234.20","234.90","15,012","38,038","NA","547.71","10.48","190.71","50.00%","1","12.90","22.35","4.74","1.23","2.13%","10.00",NA,"224.53, 220.55, 218.33, 219.51","224.53, 220.55, 218.33, 219.51","http://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08"
"517405 "," ","ELECTRICALS","Aditya Electro Communications","NA","NA","NA","NA","NA","0.00","-","5.26","0.00%","1","18.28","* -","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/electricals/adityaelectrocommunications/AEC02"
"523417 "," ","MISCELLANEOUS","Aditya Exports","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityaexports/AEL01"
"522150 "," ","CASTINGS & FORGINGS","Aditya Forge","2.97","NA","200","NA","NA","1.28","-","-11.95","0.00%","1","27.24","-","1.17","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/castingsforgings/adityaforge/AF"
"531588 ","ADITYAINTL ","TRADING","Aditya International","NA","NA","NA","NA","NA","0.00","-","74.18","0.00%","1","192.12","1.79","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/trading/adityainternational/AI37"
"513513 "," ","STEEL - MEDIUM & SMALL","Aditya Ispat","3.65","NA","500","NA","NA","1.95","6.19","14.50","0.00%","1","20.88","0.59","3.17","0.25","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adityaispat/AI06"
"512571 "," ","CHEMICALS","Aditya Lime Industries","NA","NA","NA","NA","NA","0.00","-","7.07","","100","-","* -","-","-","-%","0.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/chemicals/adityalimeindustries/ALI01"
"502625 "," ","DIVERSIFIED","Aditya Mills","NA","NA","NA","NA","NA","0.00","-","22.18","0.00%","100","16.19","* -","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/diversified/adityamills/AML01"
"514338 "," ","PACKAGING","Aditya Polymers","NA","NA","NA","NA","NA","0.00","-","8.47","0.00%","100","-","* -","-","-","-%","0.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/packaging/adityapolymers/APL02"
"521141 ","ADITYASPIN ","TEXTILES - SPINNING - SYNTHETIC BLENDED","Aditya Spinners","6.10","NA","5,780","NA","100%","10.21","8.59","5.75","0.00%","1","11.29","0.71","5.13","1.06","-%","10.00",NA,"5.83, 6.68, 0.00","5.83, 6.68, 0.00","http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01"
"539056 ","ADLABS ","MISCELLANEOUS","Adlabs Entertainment","122.90","122.40","15,136","41,434","100%","981.94","-","88.80","0.00%","1","45.38","-","-","1.38","-%","10.00",NA,"115.24, 115.67, 137.67, 0.00","115.24, 115.67, 137.67, 0.00","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adlabsentertainment/AE01"
"530431 "," ","ELECTRODES & GRAPHITE","Ador Fontech","94.85","NA","13,900","NA","NA","165.99","13.12","50.92","175.00%","1","12.57","7.23","10.24","1.86","3.69%","2.00",NA,"91.77, 91.06, 93.85, 94.47","91.77, 91.06, 93.85, 94.47","http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22"
" "," ","MISCELLANEOUS","Ador Powertron","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adorpowertron/AP25"
"516076 "," ","PACKAGING","Ador Technopak","NA","NA","NA","NA","NA","0.00","-","-12.17","0.00%","1","3.59","6.31","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/packaging/adortechnopak/AT11"
"517041 ","ADORWELD ","ELECTRODES & GRAPHITE","Ador Welding","273.20","273.95","417","1,490","50%","371.51","20.30","150.02","50.00%","1","23.48","13.46","12.08","1.82","1.83%","10.00",NA,"268.78, 268.96, 254.20, 243.05","268.78, 268.96, 254.20, 243.05","http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01"
"523120 "," ","PERSONAL CARE","Adore Multiproducts","15.00","NA","1,100","NA","NA","4.11","-","11.11","0.00%","1","48.47","-","-","1.35","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/personalcare/adoremultiproducts/AM01"
"523031 "," ","HOSPITALS & MEDICAL SERVICES","ADS Diagnostic","11.34","NA","0","NA","NA","2.49","3.06","9.56","0.00%","100","46.72","3.70","2.24","1.19","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS"
"531271 "," ","MISCELLANEOUS","Advance Bio-Coal (India)","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"","","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04"
"521048 "," ","TEXTILES - SPINNING - COTTON BLENDED","Advance Lifestyles","8.63","NA","25","NA","100%","2.69","1.01","96.94","0.00%","1","16.89","8.54","0.99","0.09","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/advancelifestyles/AAM"
"534612 ","AMTL ","POWER - GENERATION & DISTRIBUTION","Advance Metering Technology","27.25","27.05","5,794","13,114","NA","43.76","-","89.29","0.00%","1","38.71","-","908.33","0.31","-%","5.00",NA,"24.03, 22.17, 19.55, 18.57","24.03, 22.17, 19.55, 18.57","http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/advancemeteringtechnology/AMT"
"526331 "," ","RUBBER","Advance Multitech","NA","NA","NA","NA","NA","0.00","-","16.67","0.00%","100","16.65","1.02","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/rubber/advancemultitech/AM02"
"506947 "," ","DETERGENTS","Advance Petrochemicals","NA","NA","NA","NA","NA","0.00","-","16.47","0.00%","50","13.63","0.62","-","-","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/detergents/advancepetrochemicals/AP02"
"531047 "," ","FINANCE - INVESTMENTS","Advance PowerInfra Tech","2.18","NA","100","NA","NA","2.56","27.25","13.93","0.00%","1","27.70","0.08","16.77","0.16","-%","10.00",NA,"","","http://www.moneycontrol.com/india/stockpricequote/financeinvestments/advancepowerinfratech/MF05"
