"bse_scrip_name","nse_scrip_name","sector","company_name","bse_price","nse_price","bse_volume","nse_volume","sentimeter_score","market_cap_in_cr","pe","book_value","dividend_perc","market_lot","industry_pe","eps","pc","price_by_bookvalue","div_yield_perc","face_value","deliverables_perc","sma_30_50_150_200_bse","sma_30_50_150_200_nse","master_url"
"503297 "," ","TEXTILES - SPINNING - SYNTHETIC BLENDED","Super Syncotex","NA","NA","NA","NA","NA","0.00","-","0.32","0.00%","1","11.52","-","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/supersyncotex/SS30"
"523842 "," ","LEATHER PRODUCTS","Super Tannery","4.54","NA","65,967","NA","NA","49.02","9.08","7.10","5.00%","1","33.15","0.50","3.95","0.64","1.10%","1.00",NA,"4.41, 4.13, 4.89, 5.27",", , , ","http://www.moneycontrol.com/india/stockpricequote/leatherproducts/supertannery/ST11"
"532070 "," ","PAPER","Superb Papers","68.00","NA","13,024","NA","NA","37.00","100.00","3.65","0.00%","1","17.95","0.68","100.00","18.63","-%","10.00",NA,"67.07, 66.10, 114.72, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/paper/superbpapers/SPL07"
"523283 ","SUPERHOUSE ","LEATHER PRODUCTS","Superhouse","179.90","163.65","10,166","384,890","50%","205.44","7.88","193.24","15.00%","1","33.15","22.82","5.23","0.93","0.83%","10.00",NA,"162.74, 160.63, 176.91, 188.95","162.12, 159.97, 176.67, 188.81","http://www.moneycontrol.com/india/stockpricequote/leatherproducts/superhouse/SL"
"526469 "," ","CHEMICALS","Superior Air Products","NA","NA","NA","NA","NA","0.00","-","36.79","0.00%","50","21.64","-","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/chemicals/superiorairproducts/SAP02"
"519234 "," ","VANASPATI & OILS","Superior Industrial Enterprises","16.55","NA","240","NA","NA","28.34","18.81","21.37","0.00%","1","13.49","0.88","15.47","0.77","-%","10.00",NA,"14.10, 15.21, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/superiorindustrialenterprises/SV"
"514438 "," ","TEXTILES - HOSIERY & KNITWEAR","Superior Sox","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/superiorsox/SS34"
"507518 "," ","BREWERIES & DISTILLERIES","Superstar Distilleries and Foods","NA","NA","NA","NA","NA","0.00","-","0.93","0.00%","100","70.38","1.38","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/superstardistilleriesfoods/SDF03"
"517490 "," ","ELECTRODES & GRAPHITE","Superstar Welding Industries","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/superstarweldingindustries/SWI"
"526133 "," ","TEXTILES - PROCESSING","Supertex Industries","2.94","NA","4,534","NA","NA","3.33","5.44","23.90","0.00%","1","20.02","0.54","3.63","0.12","-%","10.00",NA,"2.42, 2.51, 2.43, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/supertexindustries/SI47"
